PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,ELEP,ELEPCRUG,ELECTROPATAGONIA-C.RIV-C.COMB.,PATAGONICA,Patagonia,TG,Térmica,Ciclos Combinados,42.0
2016-05-01,ELEP,ELEPCRUG,ELECTROPATAGONIA-C.RIV-C.COMB.,PATAGONICA,Patagonia,TV,Térmica,Ciclos Combinados,21.0
2016-05-01,EMBA,NUCLEOEG,NUCLEOELECTRICA ARG. SA       ,CENTRO,Centro,NU,Nuclear,Nuclear,648.0
2016-05-01,ENSE,LAPLATAC,LA PLATA COGENERACION SA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,128.0
2016-05-01,ESCAHI,HTUCUMAG,HIDROELECTRICA TUCUMAN SA     ,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,24.0
2016-05-01,ESQD,CTESQUSG,CT ESQUINA - SOENERGY,NORESTE,Nea,DI,Térmica,Motor Diesel,16.5
2016-05-01,ETIGHI,HIDIAMAG,H. DIAMANTE SA                ,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,14.0
2016-05-01,FILO,FILOMORG,C.T. FILO MORADO              ,COMAHUE,Comahue,TG,Térmica,Turbina a gas,62.9
2016-05-01,FORD,CTFORMAG,CT FORMOSA - APR ENERGY,NORESTE,Nea,DI,Térmica,Motor Diesel,30.0
2016-05-01,FRIA,CTFRIASG,GENERACION FRIAS S.A.,NOROESTE,Noa,TG,Térmica,Turbina a gas,60.0
2016-05-01,FSIMHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,10.5
2016-05-01,FUTAHI,HFUTALEG,HIDROELECTRICA FUTALEUFU SA,PATAGONICA,Patagonia,HI,Hidráulica,Hidráulica,472.0
2016-05-01,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,593.02
2016-05-01,GBEL,TMBELGRG,TERMOELECTRICA M.BELGRANO S.A.,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,275.2
2016-05-01,GBMO,UGMGB10G,UGEM 26 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,28.0
2016-05-01,GBMO,UGMGB11G,UGEM 23 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,49.98
2016-05-01,GBMO,UGMGBA1G,UGEM 01 - GBA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.995
