PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,SANDHI,SALANDEG,CENTRAL SALTO ANDERSEN,COMAHUE,Comahue,HR,Renovable,Hidráulica Renovable,7.9
2016-05-01,SARC,HTSANJUG,HIDROTERMICA SAN JUAN,CUYO,Cuyo,TG,Térmica,Turbina a gas,30.0
2016-05-01,SCTP,EDEABA1G,EDEA GENERACION,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,14.0
2016-05-01,SFRA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,39.0
2016-05-01,SGDEHIAR,CTMSALGG,CTM SALTO GRANDE              ,LITORAL,Gba - Litoral - Buenos Aires,HI,Hidráulica,Hidráulica,945.0
2016-05-01,SGUIHI,CHSGUILG,C.H. SAN GUILLERMO SIEyE,CUYO,Cuyo,MH,Renovable,Hidráulica Renovable,0.1
2016-05-01,SJUAFV,PFOTOSJG,PTA FOTOVOLTAICA S.JUAN I-EPSE,CUYO,Cuyo,FV,Renovable,Solar,1.2
2016-05-01,SLTO,CTSATOSG,CT SALTO - SOENERGY,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,22.5
2016-05-01,SMAN,CTSMNO3G,C.T.SAN MARTIN NORTE 3- ENARSA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Renovable,Biogas,5.1
2016-05-01,SMAR,EDECATKG,EDECAT GENERACION,NOROESTE,Noa,DI,Térmica,Motor Diesel,2.8
2016-05-01,SMARHI,GEMSAMEG,GENERADORA ELECTRICA MENDOZ.SA,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,6.48
2016-05-01,SMIG,CTSAMING,CT SAN MIGUEL NORTE III-ENARSA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Renovable,Biogas,11.5
2016-05-01,SMTU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,Noa,TG,Térmica,Ciclos Combinados,230.7
2016-05-01,SMTU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,Noa,TV,Térmica,Ciclos Combinados,151.3
2016-05-01,SNIC,CTSNICOG,C.TERMICA SAN NICOLAS,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,25.0
2016-05-01,SNIC,CTSNICOG,C.TERMICA SAN NICOLAS,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,650.0
2016-05-01,SOES,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,100.0
2016-05-01,SORR,CTSORREG,C.TERMICA SORRENTO            ,LITORAL,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,217.0
2016-05-01,SPE2,CTSAE2AG,CT SAENZ PEÑA II- AGGREKO,NORESTE,Nea,DI,Térmica,Motor Diesel,15.0
2016-05-01,SPEN,CTSAENAG,CT SAENZ PEÑA - APR ENERGY,NORESTE,Nea,DI,Térmica,Motor Diesel,20.0
2016-05-01,SROQHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,24.0
2016-05-01,SROS,CTSROSTG,CT SANTA ROSA -TURBODISEL,NORESTE,Nea,DI,Térmica,Motor Diesel,6.0
2016-05-01,SVIC,CTSANVIG,CT SAN VICENTE BsAs - ENARSA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,27.6
2016-05-01,TAND,TERMOANG,C.T. SALTA (TERMOANDES),NOROESTE,Noa,TG,Térmica,Turbina a gas,416.0
2016-05-01,TARD,CTTARTSG,CT TARTAGAL - SOENERGY,NOROESTE,Noa,DI,Térmica,Motor Diesel,10.0
2016-05-01,TERV,CTTERESG,CT TEREVINTOS - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,8.0
2016-05-01,TIMB,TSMARTIG,TERMOELE. JOSE SAN MARTIN S.A,LITORAL,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,584.84
2016-05-01,TIMB,TSMARTIG,TERMOELE. JOSE SAN MARTIN S.A,LITORAL,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,280.3
2016-05-01,TINO,CTTINOSG,CT TINOGASTA - SULLAIR,NOROESTE,Noa,DI,Térmica,Motor Diesel,15.0
2016-05-01,TORDEO,CETORDIG,CE EL TORDILLO-VIENTO PATAGON,PATAGONICA,Patagonia,EO,Renovable,Eólica,3.0
2016-05-01,TUCU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,Noa,TG,Térmica,Ciclos Combinados,288.4
2016-05-01,TUCU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,NOROESTE,Noa,TV,Térmica,Ciclos Combinados,158.6
2016-05-01,TUNAHI,AESJURAG,AES JURAMENTO,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,10.52
2016-05-01,ULLUHI,HTSANJUG,HIDROTERMICA SAN JUAN,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,42.0
2016-05-01,VANG,CTVANGAG,CT VILLA ANGELA - AGGREKO,NORESTE,Nea,DI,Térmica,Motor Diesel,15.0
2016-05-01,VGAD,CTGVILAG,CT GRAL. VILLEGAS - AGGREKO,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,23.5
2016-05-01,VGEP,CEVIGE3G,COOP. VILLA GESELL GENERACIÓN,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,2.96
2016-05-01,VGES,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,45.0
2016-05-01,VGES,CTGESELG,CT VILLA GESELL-CATLANT.,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,80.0
2016-05-01,VIAL,CTVIALAG,CT VIALE - AGGREKO,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,10.0
2016-05-01,VMAR,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,48.0
2016-05-01,VOBL,CTVOBLIG,CT VUELTA DE OBLIGADO,LITORAL,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,526.1
2016-05-01,VTUD,CTVTUESG,CT VENADO TUERTO - SECCO,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,19.2
2016-05-01,YACYHI,YACYRETG,E.B. YACYRETA,NORESTE,Nea,HI,Hidráulica,Hidráulica,2745.0
2016-05-01,DIVIHI,APELPALD,APELP                         ,COMAHUE,Comahue,HR,Renovable,Hidráulica Renovable,10.0
2016-05-01,GROCHI,EDERSARD,EMP DE ENERGIA DE RIO NEGRO SA,COMAHUE,Comahue,HR,Renovable,Hidráulica Renovable,2.0
2016-05-01,CACVHI,CEMPPOMG,CONSORCIO POTRERILLOS,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,9.0
2016-05-01,NPOM,CTNPOMPG,CT NUEVA POMPEYA - ENARSA,NORESTE,Nea,DI,Térmica,Motor Diesel,4.0
2016-05-01,SANA,EMISSANG,EMSA GENERACION,NORESTE,Nea,DI,Térmica,Motor Diesel,0.72
2016-05-01,PALM,CTPALARG,CT PALMAR LARGO - ENARSA,NORESTE,Nea,DI,Térmica,Motor Diesel,3.0
2016-05-01,SFR2,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,16.8
2016-05-01,SSAL,CTSSALVG,CT SAN SALVADOR E.Rios -ENARSA,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,10.8
2016-05-01,BERI,EMISSANG,EMSA GENERACION,NORESTE,Nea,DI,Térmica,Motor Diesel,2.096
2016-05-01,PROC,CTPROCAG,CT PRESIDENCIA ROCA - ENARSA,NORESTE,Nea,DI,Térmica,Motor Diesel,5.4
2016-05-01,BAND,CTBANDEG,CT BANDERA SgoEstero - ENARSA,NOROESTE,Noa,DI,Térmica,Motor Diesel,31.0
2016-05-01,SCHA,CTSMARTG,CT SAN MARTIN Chaco - ENARSA,NORESTE,Nea,DI,Térmica,Motor Diesel,15.0
2016-05-01,COSM,COSTANDG,MOTOGENERADORES COSTANERA,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,36.0
2016-05-01,RCHI,CTRIOCHG,CT RIO CHICO - SPSE,PATAGONICA,Patagonia,TG,Térmica,Turbina a gas,35.0
2016-05-01,HUMA,EJUESAYG,EMP.JUJENIA DE ENER.GENERACION,NOROESTE,Noa,DI,Térmica,Motor Diesel,1.62
