AÑO,MES,BALANCE,TIPO,ENERGIA
2014,2014-12-01,OFERTA,Nuclear,567074.139
2014,2014-12-01,OFERTA,Renovable,74696.1
2014,2014-12-01,OFERTA,Térmica,7492071.755
2015,2015-01-01,OFERTA,Hidráulica,3397673.345
2015,2015-01-01,OFERTA,Importacion,163924.751
2015,2015-01-01,OFERTA,Nuclear,548514.12
2015,2015-01-01,OFERTA,Renovable,68786.632
2015,2015-01-01,OFERTA,Térmica,7931106.323
2015,2015-02-01,OFERTA,Hidráulica,2711992.112
2015,2015-02-01,OFERTA,Importacion,15617.342
2015,2015-02-01,OFERTA,Nuclear,598535.605
2015,2015-02-01,OFERTA,Renovable,57829.616
2015,2015-02-01,OFERTA,Térmica,7586553.231
2015,2015-03-01,OFERTA,Hidráulica,2855764.221
2015,2015-03-01,OFERTA,Importacion,15820.426
2015,2015-03-01,OFERTA,Nuclear,619935.692
2015,2015-03-01,OFERTA,Renovable,66512.089
2015,2015-03-01,OFERTA,Térmica,8324354.703
2015,2015-04-01,OFERTA,Hidráulica,2586939.815
2015,2015-04-01,OFERTA,Importacion,12370.572
2015,2015-04-01,OFERTA,Nuclear,349457.295
2015,2015-04-01,OFERTA,Renovable,74318.65
2015,2015-04-01,OFERTA,Térmica,7284703.935
2015,2015-05-01,OFERTA,Hidráulica,2576375.338
2015,2015-05-01,OFERTA,Importacion,12879.2
2015,2015-05-01,OFERTA,Nuclear,333135.705
2015,2015-05-01,OFERTA,Renovable,68258.663
2015,2015-05-01,OFERTA,Térmica,7848760.513
2015,2015-06-01,OFERTA,Hidráulica,3558813.057
2015,2015-06-01,OFERTA,Importacion,12955.666
2015,2015-06-01,OFERTA,Nuclear,416137.374
2015,2015-06-01,OFERTA,Renovable,84481.433
2015,2015-06-01,OFERTA,Térmica,7609701.916
2015,2015-07-01,OFERTA,Hidráulica,4130387.641
2015,2015-07-01,OFERTA,Importacion,171562.472
2015,2015-07-01,OFERTA,Nuclear,863909.455
2015,2015-07-01,OFERTA,Renovable,88370.37
2015,2015-07-01,OFERTA,Térmica,7120400.731
2015,2015-08-01,OFERTA,Hidráulica,4283453.379
2015,2015-08-01,OFERTA,Importacion,124301.818
2015,2015-08-01,OFERTA,Nuclear,596446.974
2015,2015-08-01,OFERTA,Renovable,85184.049
2015,2015-08-01,OFERTA,Térmica,6512885.088
2015,2015-09-01,OFERTA,Hidráulica,4243289.116
2015,2015-09-01,OFERTA,Importacion,53225.36
2015,2015-09-01,OFERTA,Nuclear,376651.928
2015,2015-09-01,OFERTA,Renovable,83579.035
2015,2015-09-01,OFERTA,Térmica,6279157.385
2015,2015-10-01,OFERTA,Hidráulica,4218103.686
2015,2015-10-01,OFERTA,Importacion,451788.98
2015,2015-10-01,OFERTA,Nuclear,243060.816
2015,2015-10-01,OFERTA,Renovable,88052.068
2015,2015-10-01,OFERTA,Térmica,6155727.345
2015,2015-11-01,OFERTA,Hidráulica,3193145.856
2015,2015-11-01,OFERTA,Importacion,493672.615
2015,2015-11-01,OFERTA,Nuclear,614675.479
2015,2015-11-01,OFERTA,Renovable,72995.937
2015,2015-11-01,OFERTA,Térmica,6213868.959
2015,2015-12-01,OFERTA,Hidráulica,3707165.596
2015,2015-12-01,OFERTA,Importacion,126517.694
2015,2015-12-01,OFERTA,Nuclear,958064.241
2015,2015-12-01,OFERTA,Renovable,78124.396
2015,2015-12-01,OFERTA,Térmica,7449780.47
2016,2016-01-01,OFERTA,Hidráulica,3583737.036
2016,2016-01-01,OFERTA,Importacion,170794.694
2016,2016-01-01,OFERTA,Nuclear,679430.647
2016,2016-01-01,OFERTA,Renovable,79901.639
2016,2016-01-01,OFERTA,Térmica,8276443.498
2013,2013-01-01,DEMANDA,Gran Usuario,2200647.932
2013,2013-01-01,DEMANDA,Distribuidor,8933471.413
2013,2013-01-01,DEMANDA,Bombeo,22415.912
2013,2013-01-01,DEMANDA,Exportacion,4.545
2013,2013-01-01,DEMANDA,Perdidas,314085.662
2013,2013-02-01,DEMANDA,Gran Usuario,2069873.671
2013,2013-02-01,DEMANDA,Distribuidor,7764286.336
2013,2013-02-01,DEMANDA,Bombeo,56695.466
2013,2013-02-01,DEMANDA,Exportacion,136.242
2013,2013-02-01,DEMANDA,Perdidas,286836.48
2013,2013-03-01,DEMANDA,Gran Usuario,2251028.154
2013,2013-03-01,DEMANDA,Distribuidor,7505101.154
2013,2013-03-01,DEMANDA,Bombeo,39453.514
2013,2013-03-01,DEMANDA,Exportacion,4.212
2013,2013-03-01,DEMANDA,Perdidas,299179.738
2013,2013-04-01,DEMANDA,Gran Usuario,2224308.795
2013,2013-04-01,DEMANDA,Distribuidor,7083025.368
2013,2013-04-01,DEMANDA,Bombeo,71541.527
2013,2013-04-01,DEMANDA,Exportacion,13.932
2013,2013-04-01,DEMANDA,Perdidas,293663.561
2013,2013-05-01,DEMANDA,Gran Usuario,2306464.368
2013,2013-05-01,DEMANDA,Distribuidor,7926361.026
2013,2013-05-01,DEMANDA,Bombeo,36993.396
2013,2013-05-01,DEMANDA,Exportacion,53.046
